item_id,name,category,criticality,daily_consumption_normal,daily_consumption_disaster,disaster_surge_category
99dbf997-7aec-41a4-86be-6053676cffc6,Adrenaline (Epinephrine) 1mg/mL Injection,medicine,life_critical,12.5,68.8,trauma
9bc93260-3a5e-40ec-a446-04dd10509f2d,Atropine Sulphate Injection,medicine,life_critical,3.8,16.7,trauma
b4ac9073-ea89-4a16-8fae-e8000522a8d2,Dopamine HCl Injection,medicine,life_critical,9.7,38.8,trauma
31aaebb1-9d5d-4554-bf0c-c6cc521034bb,Norepinephrine Injection,medicine,life_critical,3.7,14.4,trauma
6c0a8b40-d9d9-4a43-b6af-6e0eca9f618f,Vasopressin Injection,medicine,life_critical,2.2,9.0,trauma
67d97f78-3fd6-4705-990b-8d6aea1eb9df,Sodium Bicarbonate Injection,medicine,life_critical,7.5,40.5,trauma
4c55cc89-3c7c-4846-b15d-0d9438df1ef2,Calcium Gluconate Injection,medicine,life_critical,5.7,29.6,trauma
5231d7cb-b258-44ac-8949-cca7a6eaeafa,Potassium Chloride Injection,medicine,life_critical,13.8,59.3,trauma
3d088981-e695-4114-915d-ed78411dc6a1,Magnesium Sulphate Injection,medicine,life_critical,10.5,38.9,trauma
ea5ac7ce-e678-437f-a1b5-2bf39202ae2e,Amiodarone Injection,medicine,life_critical,4.0,20.8,trauma
9e62b79b-65bc-44f8-ac11-6ec76890e669,Lignocaine Injection,medicine,life_critical,12.3,61.5,trauma
9d2a05a8-2ae0-40d7-a8ab-b3e676f41dd6,Normal Saline 500mL Bag,medicine,life_critical,14.9,70.0,trauma
481994a8-03bc-4fc2-a075-1e4bc77e1086,Ringer Lactate 500mL Bag,medicine,life_critical,12.2,42.7,trauma
6b8fb80b-1afb-42f4-900b-a6aa98bc625f,Dextrose 5% 500mL Bag,medicine,life_critical,10.5,56.7,trauma
5d71361d-0603-4bcb-8b84-82031fb2768a,Albumin 20% Injection,medicine,life_critical,2.5,13.5,trauma
d331e633-72c5-42ab-a599-8b66ff5f38cc,Whole Blood (O-Neg),medicine,life_critical,5.2,16.6,trauma
519b192f-8016-472c-a39f-7d329885f4c0,Packed Red Blood Cells,medicine,life_critical,6.1,18.9,trauma
3c131c01-be53-4c30-b5d6-aaaf226a353c,Fresh Frozen Plasma,medicine,life_critical,2.8,13.2,trauma
f20bddbd-b268-49ca-8b39-92bc79a03cc5,Platelet Concentrate,medicine,life_critical,7.1,28.4,trauma
bdba11f1-ca53-4021-9ba6-18d29b6bb722,Cryoprecipitate,medicine,life_critical,13.2,39.6,trauma
678b8198-44c8-4d1b-aa28-6006fba44649,Heparin Sodium Injection,medicine,life_critical,6.3,25.8,trauma
e1e20a37-ecee-4a91-ae40-e59b06fca561,Alteplase Injection (tPA),medicine,life_critical,5.4,20.5,trauma
98170439-4d85-40d7-95c6-a8c674c2a80c,Protamine Sulphate,medicine,life_critical,10.9,39.2,trauma
af2c69f2-11fc-4387-935b-312e391e83bd,Vancomycin Injection,medicine,life_critical,2.6,10.9,trauma
91ca95dc-3f2a-4b95-be7b-32badf9a3f13,Meropenem Injection,medicine,life_critical,2.6,8.6,trauma
80425b91-4243-4a10-9558-1146589bbf46,Piperacillin-Tazobactam Injection,medicine,life_critical,4.4,13.6,trauma
bb8076ea-cb24-47c4-b7e5-174723aeb265,Ceftriaxone Injection,medicine,life_critical,5.1,22.4,trauma
a8f49437-3cd3-4df9-9346-58419a91f1f6,Metronidazole Injection,medicine,life_critical,2.1,10.7,trauma
df8800e0-ba81-45e6-a413-400b0e08de45,Fluconazole Injection,medicine,life_critical,12.0,61.2,trauma
9842b364-85cb-4366-a0a0-6cb85cefb856,Morphine Sulphate Injection,medicine,life_critical,7.9,35.6,trauma
c523cf41-57b7-4576-bd9b-23c6ae33eb6e,Fentanyl Injection,medicine,life_critical,12.6,47.9,trauma
72454a93-766d-4842-a620-4bea5d92b341,Midazolam Injection,medicine,life_critical,4.8,19.2,trauma
fccf4298-8984-4f0a-932c-90f005268a97,Propofol Injection,medicine,life_critical,2.4,9.4,trauma
9e4157e9-cc1a-419a-b0c3-2a65ab819fc1,Ketamine Injection,medicine,life_critical,11.4,54.7,trauma
a9b567eb-2146-41d2-9998-2d1f3487fdb3,Rocuronium Injection,medicine,life_critical,13.6,61.2,trauma
192ff058-391b-4ff3-9feb-d6eb3803a978,Succinylcholine Injection,medicine,life_critical,11.0,37.4,trauma
2ccbb523-fdc1-4ea4-ae27-62fcde0398a1,Thiopentone Sodium,medicine,life_critical,2.1,6.3,trauma
33336f49-7f10-4cfa-9ab0-af6a0593da91,Dexamethasone Injection,medicine,life_critical,3.6,18.7,trauma
ae33be1c-d83d-46dd-8571-e610b8cb4387,Hydrocortisone Injection,medicine,life_critical,10.1,37.4,trauma
21860bec-ea46-43fd-a9c5-b37a52aac612,Methylprednisolone Injection,medicine,life_critical,5.8,27.3,trauma
2644416e-06dd-4997-bab7-e93d1b93bf6d,Mannitol 20% Injection,medicine,life_critical,9.7,34.9,trauma
