order_id,item_id,supplier_id,quantity,order_date,expected_delivery_date,actual_delivery_date,status,delay_days,delay_reason,is_monsoon_season
c89609de-a1b0-46f7-acee-92c502f7484e,d4557c5f-0420-4fe0-8146-5de62774b00a,7589d2f0-09e5-4853-b476-62838c8e9482,138,2023-09-26 00:00:00,2023-10-01,2023-10-01,delivered,0,,True
1bebfbe8-bd1e-4ca1-8347-d0a470e2c027,e1e20a37-ecee-4a91-ae40-e59b06fca561,8bd54457-48de-4584-a26d-95fd549f77ad,26,2023-09-29 00:00:00,2023-10-04,2023-10-07,delivered,3,transport,True
6be57f00-e25d-4a7a-88c2-76832da25ce1,3832c165-de5a-4564-b51b-89b5d9646cc3,7672f549-cb7d-42c5-858b-5ceb2a4784cf,388,2022-06-12 00:00:00,2022-06-15,2022-06-15,delivered,0,,True
b96f5a28-5f6e-42ed-b73c-47d71618e85e,2b66d251-32ee-4001-adda-ce287e772705,cba79362-50cc-4fa0-b857-41ff6de28fe9,9,2024-06-25 00:00:00,2024-06-30,2024-06-30,delivered,0,,True
03d850f1-4342-42ee-95e6-bd865e5b0b05,c6d7cdcd-ba6b-4817-8a7b-98cf8f1f563a,559d2705-0180-4170-8964-e2dc6280da81,180,2022-03-07 00:00:00,2022-03-11,2022-03-11,delivered,0,,False
a7af0f38-9969-4629-bd3d-aee4e9e1aeea,a20310fd-a441-4a0e-879b-16e2fa65d7d7,ae1d5447-6dc8-445c-82c3-4d66b112c34e,31,2024-05-01 00:00:00,2024-05-04,2024-05-15,delivered,11,transport,False
6287c8c9-9f0a-49ff-89c2-117e102bddc9,1be4c8a5-5af7-4b62-92c6-67801ff1015b,a8c4c4dd-1c21-422c-831f-f71f89e05b45,442,2022-03-12 00:00:00,2022-03-15,2022-03-15,delivered,0,,False
1124a3b5-6c5f-43cb-a6e7-0d0feafc9da6,f20c11e0-9d60-4488-993c-095ba58e9f02,907f88b5-d199-4711-9a3a-14230ad2d67f,244,2025-03-28 00:00:00,2025-03-31,2025-04-06,delivered,6,customs,False
5c997355-2340-4fe8-af28-b983fc97ec4d,c8e5fcf2-4fda-4d7b-b727-a38040bc3d5d,bbe347ef-05e2-456f-b357-228e189541ad,156,2024-09-20 00:00:00,2024-09-22,2024-09-26,delivered,4,customs,True
acff41dc-d54f-4db4-880f-1a3cc7918220,362872fd-dacb-44c5-8cae-b2947b02477a,24d5ff7e-2d7e-4be3-b1aa-52ad19425b51,345,2023-11-25 00:00:00,2023-11-29,2023-11-29,delivered,0,,False
c1186086-3301-4a6d-a419-bcb5e792cd4b,a9705d7e-e104-4f62-842a-981eea98724b,c53c7469-b4bd-47ea-8143-5500a3459818,194,2024-08-04 00:00:00,2024-08-07,2024-08-07,delivered,0,,True
c618c464-6d02-433a-8267-88cc7bcd9d78,481994a8-03bc-4fc2-a075-1e4bc77e1086,24d5ff7e-2d7e-4be3-b1aa-52ad19425b51,28,2022-11-20 00:00:00,2022-11-25,2022-11-25,delivered,0,,False
3896f1c1-4e07-46fa-9731-bde6aefc7f49,518844bc-ec32-4eaa-b752-6eede508d325,06451a22-c43c-4a31-b3fb-12174a85dc54,220,2023-04-18 00:00:00,2023-04-21,2023-04-21,delivered,0,,False
b5ba71b2-fe54-43a9-94c7-527a25343ea1,ebe70a1b-29d4-4ef9-9aa9-b575f38963fa,c53c7469-b4bd-47ea-8143-5500a3459818,31,2023-12-05 00:00:00,2023-12-09,2023-12-09,delivered,0,,False
947cb560-1dfd-4410-9148-aeb47e23a44d,2fae3224-470f-436a-93d8-d496607b7e79,559d2705-0180-4170-8964-e2dc6280da81,804,2022-02-12 00:00:00,2022-02-16,2022-02-17,delivered,1,transport,False
71a79c3f-5344-402a-abdc-533993f275ac,f80088be-724a-4d8a-b4bb-042187bae10d,19a1e446-4926-4e18-b322-f63e2e808b7f,273,2022-06-19 00:00:00,2022-06-22,2022-06-22,delivered,0,,True
9afc20d4-d119-4629-b5fc-e0a73f7b2a08,0e9e33e0-160d-405f-b921-425dce609986,55267123-381b-40a9-b055-0e477ec408b7,434,2025-03-14 00:00:00,2025-03-15,2025-03-18,delivered,3,disaster,False
8bc2fb2d-b2ce-4ac1-b584-1f450b7b4bda,526c1e2c-6309-4d0f-ba54-df2cf7237297,629237db-9498-4469-9f8b-1f4e99b90e3c,159,2023-03-31 00:00:00,2023-04-04,2023-04-04,delivered,0,,False
94ee3d77-c89c-41cc-bb0b-a9e94bd06659,07c9b8d6-6498-478b-ad8c-c4a78fdb5c69,487b400f-f075-4c06-87ec-aef83d0aeefd,938,2024-12-03 00:00:00,2024-12-06,2024-12-08,delivered,2,transport,False
35ed09a2-2a6a-4015-ade1-691320a94b3a,622422e9-f692-4686-b5a4-a6c33640413d,2a6e59ca-520d-420d-af6a-fca628ffdcc3,113,2024-11-13 00:00:00,2024-11-18,2024-11-18,delivered,0,,False
ed0ddd9b-0ff8-4b30-8a1e-861ea16f3193,b571a15f-c3ce-48b8-a9a3-f39b865125bc,ed4703f2-56e4-4fa1-b1aa-16145a6e93c3,109,2024-03-15 00:00:00,2024-03-19,2024-03-28,delivered,9,stock_out,False
05aa648e-01f5-4f84-b143-7d23fa8cf982,f23814e7-0aa6-4224-a8f0-e48739fb66f9,770bdd47-77b1-4d53-98bc-163ec7245bc7,174,2024-09-09 00:00:00,2024-09-14,2024-09-14,delivered,0,,True
f0d8822d-3329-4b35-97ad-9d025e04e517,1b38029f-8f0e-4562-98ac-c2c18cbd75a1,a01fa1ab-b078-4b98-8bfc-fedf7e82420a,176,2022-03-08 00:00:00,2022-03-10,2022-03-10,delivered,0,,False
