assignment_id,order_id,route_id,facility_id,actual_distance_km,actual_travel_hrs,was_disrupted,disruption_type,dispatch_date,delivery_date
2d436920-103a-4fce-be87-968e4f5ba8b7,c89609de-a1b0-46f7-acee-92c502f7484e,ec37ed05-88e5-457f-bf71-f11d85089af9,4de9da93-ced1-40d4-ab48-6dccb51417e7,216.3,6.2,False,,2023-09-26,2023-10-01
cdc4427f-e368-426f-9885-ad27601f4252,1bebfbe8-bd1e-4ca1-8347-d0a470e2c027,a8145861-5c6c-4356-b96a-7384f05b98c7,96dc98c7-a0ad-4c3a-aed1-07de9e210bb7,102.6,2.03,True,transport,2023-09-29,2023-10-07
5726363d-12de-48a7-9d34-7b1d234f8979,6be57f00-e25d-4a7a-88c2-76832da25ce1,6162c46e-7d68-44ad-9376-8ddbca3f8bea,dd834eb1-aaae-4891-b2ad-374d652abd13,164.2,3.14,False,,2022-06-12,2022-06-15
f2ad44d3-4046-4c02-83e7-07350bf76781,b96f5a28-5f6e-42ed-b73c-47d71618e85e,c0279511-7c53-4f6f-a881-ac1050f93bcf,1760cf46-90e5-4fc8-b564-21695685a3a7,250.5,3.5,False,,2024-06-25,2024-06-30
0cc3de91-0bec-433e-ac86-1212969d845e,03d850f1-4342-42ee-95e6-bd865e5b0b05,a86c414d-2042-4f5c-8245-5aa4e90ebb59,98e0d752-46c0-4b17-8810-4308cc191df8,193.1,4.01,False,,2022-03-07,2022-03-11
0eb890a8-6135-4ed0-8b46-10a339e57371,a7af0f38-9969-4629-bd3d-aee4e9e1aeea,1101e286-f6a9-468d-afc1-56f019956ee8,31a28173-ca6a-4d67-9360-2838c27e34b7,4.7,0.11,True,transport,2024-05-01,2024-05-15
89e6c89a-c34f-442d-a645-179b1b906222,6287c8c9-9f0a-49ff-89c2-117e102bddc9,a736aa20-d570-4648-a9c6-a6a1eef7a73b,6ebb1cd6-4336-4042-a427-21e6d887b651,64.5,1.6,False,,2022-03-12,2022-03-15
ec10da90-3d96-4659-8827-9797ca4ef0fd,1124a3b5-6c5f-43cb-a6e7-0d0feafc9da6,637288f7-f7cf-4fe3-86aa-6c16742583bc,e75c24ce-ea39-4952-8e06-5f2f0f0b6f04,241.9,5.76,True,customs,2025-03-28,2025-04-06
8aa2f964-eee2-4035-be9c-9d4f33968228,5c997355-2340-4fe8-af28-b983fc97ec4d,1a4ce575-59c5-49bf-8547-916a0f09fbc8,6ebb1cd6-4336-4042-a427-21e6d887b651,165.8,2.34,True,customs,2024-09-20,2024-09-26
5068b266-3714-4d51-b531-3606f65ed73c,acff41dc-d54f-4db4-880f-1a3cc7918220,349c7eea-f80e-4f0d-a345-62a771fd5666,0147e730-a075-4a8a-bd7b-b1b7e82da23d,497.0,13.77,False,,2023-11-25,2023-11-29
89a20923-0623-4b6f-adc4-86b3373dc6bf,c1186086-3301-4a6d-a419-bcb5e792cd4b,85753984-d36b-4009-823f-60415c840e6b,a358466a-5265-40d0-852b-00e114b60fbe,312.3,8.61,False,,2024-08-04,2024-08-07
