delivery_id,order_id,supplier_id,item_id,expected_date,actual_date,delay_days,delay_reason,season,created_at
1e662871-873d-4c48-9022-582c861241b9,7d57dc71-703b-426a-9141-b582dabcb6db,0ab49c1e-2b76-4773-9b0f-7bb455f376d9,d785fad3-f7e3-4d41-b77f-59204d378cfc,2026-04-29,,0,,summer,2026-05-14T19:49:36.389762
57abc1c3-4d71-457b-9af0-774cfaf49d96,00a8b06e-d614-4923-86f3-3a835212c349,b7772cfb-9427-4bf8-94a6-f478bd24d2d1,613f1902-2368-4b07-9b0b-0ed941f8ca3f,2025-11-19,2025-11-19,0,,post_monsoon,2026-05-14T19:49:36.389813
33dc3ff9-6faa-4174-b90b-bc1a2324649b,38658008-71da-4472-b755-a0b0474a1be1,bb566f94-e52c-4412-a82b-d8421628fdce,50cc9640-dd9a-4519-af61-d5085f148369,2026-02-28,,0,,winter,2026-05-14T19:49:36.389848
5f63a614-c1c7-4c79-9a81-514c874c4ad6,e45cfee4-7334-4fc6-99dc-65e32463e23b,9fb02bc6-4c92-42ba-b82d-09964e7150e0,a51519e9-be41-433b-b8c9-5a86d4275d1e,2026-02-15,,0,,winter,2026-05-14T19:49:36.389876
2c1dccf8-bedf-4077-80bf-aaa752c6b6f8,a9389c85-5e6d-44de-9d10-eb6aa5956723,45e53695-1506-4f45-b5b7-cb31c4797e0e,43321739-8331-45ca-a26c-99eaf5248ed9,2025-10-19,2025-10-19,0,,post_monsoon,2026-05-14T19:49:36.389907
bd9d1877-6ef8-47be-819f-5927935d5ce2,2a6464e5-1864-4e70-8b52-44b164e296e5,920beb94-392d-4d45-99e8-14ec69798aa6,613f1902-2368-4b07-9b0b-0ed941f8ca3f,2025-05-22,2025-05-22,0,,summer,2026-05-14T19:49:36.389937
46ee516c-d83f-41b1-8118-815ada8f2584,60f4b974-c638-4cea-8a4f-405f41d5ead9,920beb94-392d-4d45-99e8-14ec69798aa6,26719db9-9b13-4e95-8e10-7eb75055974f,2025-09-21,2025-09-21,0,,monsoon,2026-05-14T19:49:36.389965
92e5559c-c8e5-4a66-9630-7ab643a9c053,5aa3b3ec-a2fb-44c1-9ffc-462d3e4d1afe,6f176354-1523-437d-917c-9fcf909ed0bc,b9d977b4-833e-49c9-b626-8488695adbd7,2025-06-13,2025-06-13,0,,monsoon,2026-05-14T19:49:36.389992
70a36889-fc63-4493-93cb-d67fe58c758d,a0a826f9-66cb-4adf-91d9-2f67e0514c53,9fb02bc6-4c92-42ba-b82d-09964e7150e0,32b01f52-ab61-4788-979d-9b4f6d29a345,2025-12-26,2025-12-26,0,,winter,2026-05-14T19:49:36.390018
1a5a49e4-ffda-4450-b0ad-2bfdafe9b67b,00214da0-7bd6-428c-b868-26c70954fcc1,f843db1e-eb10-4099-ba26-42c3c384c6e7,37921e4b-cae6-4cb7-aecd-16c556a54e68,2026-05-01,2026-05-02,1,stock_shortage,summer,2026-05-14T19:49:36.390066
